"MPName","MPSurname","Saeima"
"Andris","Ameriks",5
"Georgs","Andrejevs",5
"Dzintars","Ābiķis",5
"Martijans","Bekasovs",5
"Aivars","Berķis",5
"Indulis","Bērziņš",5
"Inese","Birzniece",5
"Vilnis Edvīns","Bresis",5
"Māris","Budovskis",5
"Jānis","Bunkšs",5
"Imants","Daudišs",5
"Olga","Dreģe",5
"Aivars","Endziņš",5
"Irēna","Folkmane",5
"Andris","Glāzītis",5
"Māris","Graudiņš",5
"Oskars","Grīgs",5
"Andris","Grots",5
"Roberts","Hartvigs",5
"Juris","Janeks",5
"Raimonds","Jonītis",5
"Jānis","Jurkāns",5
"Imants","Kalniņš",5
"Lainis","Kamaldiņš",5
"Vilnis","Kazāks",5
"Ojārs","Kehris",5
"Aleksandrs","Kiršteins",5
"Jānis","Kokins",5
"Nikolajs","Krasohins",5
"Aivars","Kreituss",5
"Vilis","Krištopans",5
"Janīna","Kušnere",5
"Uldis","Lakševics",5
"Larisa","Laviņa",5
"Egils","Levits",5
"Kristiāna","Lībane",5
"Jānis","Lucāns",5
"Gunārs","Meierovics",5
"Voldemārs","Novakšānovs",5
"Andrejs","Panteļējevs",5
"Valdis ","Pavlovskis",5
"Andris","Piebalgs",5
"Aida","Prēdele",5
"Pauls","Putniņš",5
"Jānis","Ritenis",5
"Alfrēds","Rubiks",5
"Andris","Saulītis",5
"Antons","Seiksts",5
"Ivars","Silārs",5
"Juris","Sinka",5
"Dainis","Stalts",5
"Leonards","Stašs",5
"Filips","Stroganovs",5
"Zigurds","Tomiņš",5
"Guntis","Ulmanis",5
"Jānis","Vaivads",5
"Jevgēnijs","Zaščerinskis",5
"Māris","Zvaigzne",5
"Mariss","Andersons",5
"Romāns","Apsītis",5
"Aleksandrs","Bartaševičs",5
"Eduards","Berklavs",5
"Gundars","Bērziņš",5
"Valdis","Birkavs",5
"Jānis","Bordāns",5
"Olafs","Brūvers",5
"Igors","Bukovskis",5
"Alfreds","Čepānis",5
"Ilmārs","Dāliņš",5
"Pēteris","Elferts",5
"Gaļina","Fjodorova",5
"Māris","Gailis",5
"Anatolijs","Gorbunovs",5
"Ilga","Grava",5
"Māris","Grīnblats",5
"Andris","Gūtmanis",5
"Edvīns","Inkēns",5
"Aivars","Jerumanis",5
"Ernests","Jurkāns",5
"Kārlis","Jurkovskis",5
"Mārtiņš Ādams","Kalniņš",5
"Viesturs Pauls","Karnups",5
"Ēriks","Kaža",5
"Edvīns","Kide",5
"Visvaldis Varnesis","Klīve",5
"Odisejs","Kostanda",5
"Andrejs","Krastiņš",5
"Ģirts Valdis","Kristovskis",5
"Ludmila","Kuprijanova",5
"Jānis","Lagzdiņš",5
"Aristids","Lambergs",5
"Kārlis","Leiškalns",5
"Andris","Liepiņš",5
"Andris","Līgotnis",5
"Ruta","Marjaša",5
"Roberts","Milbergs",5
"Uldis","Osis",5
"Oļģerts","Pavlovskis",5
"Aleksandrs","Pētersons",5
"Aija","Poča",5
"Velta","Puriņa",5
"Gunārs","Resnais",5
"Andris","Rozentāls",5
"Anta","Rugāte",5
"Indra","Sāmīte",5
"Anna","Seile",5
"Andrejs","Siliņš",5
"Modris","Spuģis",5
"Anita","Stankēviča",5
"Jānis","Straume",5
"Pēteris","Tabūns",5
"Jānis Ārvaldis Miķelis","Tupesis",5
"Jānis","Urbanovičs",5
"Mārtiņš","Virsis",5
"Joahims","Zīgerists",5
"Alfrēds","Žīgurs",5
"Andris","Ameriks",6
"Pēteris","Apinis",6
"Jānis","Ābele",6
"Jānis","Ādamsons",6
"Aleksandrs","Bartaševičs",6
"Martijans","Bekasovs",6
"Valdis","Birkavs",6
"Ilmārs","Bišers",6
"Olafs","Brūvers",6
"Juris","Celmiņš",6
"Kārlis","Čerāns",6
"Imants","Daudišs",6
"Roberts","Dilba",6
"Juris","Dobelis",6
"Kārlis Jūlijs","Druva",6
"Indulis","Emsis",6
"Guntis","Eniņš",6
"Gunta","Gannusa",6
"Aleksandrs","Golubovs",6
"Viesturs","Gredzens",6
"Ervids","Grinovskis",6
"Edmunds","Grīnbergs",6
"Māris","Grīnblats",6
"Edvīns","Inkēns",6
"Roberts","Jurdžs",6
"Jānis","Jurkāns",6
"Viktors","Kalnbērzs",6
"Jānis","Kalviņš",6
"Ēriks","Kaža",6
"Aleksandrs","Kiršteins",6
"Paulis","Kļaviņš",6
"Andrejs","Krastiņš",6
"Aivars Guntis","Kreituss",6
"Ģirts Valdis","Kristovskis",6
"Ludmila","Kuprijanova",6
"Ivars Jānis","Ķezbers",6
"Aristids Jēkabs","Lambergs",6
"Rudīte","Leitena",6
"Kristiāna","Lībane",6
"Modris","Lujāns",6
"Jānis","Mauliņš",6
"Valdis","Nagobads",6
"Andrejs","Panteļējevs",6
"Aleksandrs","Pētersons",6
"Aija","Poča",6
"Aida","Prēdele",6
"Pauls","Putniņš",6
"Andris","Rubins",6
"Māris","Rudzītis",6
"Andris","Saulītis",6
"Antons","Seiksts",6
"Juris","Sinka",6
"Viktors","Stikuts",6
"Jānis","Strods",6
"Leonards","Tenis",6
"Anatolijs","Tučs",6
"Jānis","Urbanovičs",6
"Uldis","Veldre",6
"Māris","Vītols",6
"Elmārs","Zelgalvis",6
"Ēriks","Zunda",6
"Raitis","Apalups",6
"Romāns","Apsītis",6
"Dzintars","Ābiķis",6
"Vents","Balodis",6
"Edgars","Bāns",6
"Indulis","Bērziņš",6
"Inese","Birzniece",6
"Viesturs","Boka",6
"Jānis","Bunkšs",6
"Alfreds","Čepānis",6
"Ziedonis","Čevers",6
"Oļegs","Deņisovs",6
"Viktors","Dinēvičs",6
"Vladilens","Dozorcevs",6
"Oļģerts","Dunkers",6
"Aivars","Endziņš",6
"Māris","Gailis",6
"Modris","Goba",6
"Anatolijs","Gorbunovs",6
"Ojārs","Grinbergs",6
"Oskars","Grīgs",6
"Guntars","Grīnblats",6
"Žanis","Holšteins",6
"Aigars","Jirgens",6
"Ernests","Jurkāns",6
"Juris","Kaksītis",6
"Ivars","Kalniņš",6
"Jānis","Kazāks",6
"Pēteris","Keišs",6
"Gundars","Kleinbergs",6
"Odisejs","Kostanda",6
"Ilga","Kreituse",6
"Valdis","Krisbergs",6
"Vilis","Krištopans",6
"Janīna","Kušnere",6
"Jānis","Lagzdiņš",6
"Kārlis","Leiškalns",6
"Imants","Liepa",6
"Ādolfs","Ločmelis",6
"Ruta","Marjaša",6
"Andrejs","Naglis",6
"Leopolds","Ozoliņš",6
"Normunds","Pēterkops",6
"Modris","Plāte",6
"Andrejs","Požarnovs",6
"Jānis","Priedkalns",6
"Jānis","Rāzna",6
"Jānis","Rubulis",6
"Anta","Rugāte",6
"Atis","Sausnītis",6
"Anna","Seile",6
"Leonards","Stašs",6
"Jānis","Straume",6
"Pēteris","Tabūns",6
"Andris","Tomašūns",6
"Dainis","Turlais",6
"Gundars","Valdmanis",6
"Juris Galerijs","Vidiņš",6
"Juris","Zaķis",6
"Roberts","Zīle",6
"Mariss","Andersons",7
"Dzintars","Ābiķis",7
"Egils","Baldzēns",7
"Aija","Barča",7
"Martijans","Bekasovs",7
"Gundars","Bērziņš",7
"Mārtiņš","Bičevskis",7
"Inese","Birzniece",7
"Gundars","Bojārs",7
"Jānis","Bunkšs",7
"Boriss","Cilevičs",7
"Helmuts","Čibulis",7
"Guntis","Dambergs",7
" Oļegs","Deņisovs",7
"Silvija","Dreimane",7
"Jānis","Esta",7
"Jānis","Gaigals",7
"Ilmārs","Geige",7
"Silva","Golde",7
"Anatolijs","Gorbunovs",7
"Oskars","Grīgs",7
"Valdis","Ģīlis",7
"Roberts","Jurdžs",7
"Arnis","Kalniņš",7
"Aigars","Kalvītis",7
"Vanda","Kezika",7
"Andrejs","Klementjevs",7
"Ģirts Valdis","Kristovskis",7
"Dzintars","Kudums",7
"Palmira","Lāce",7
"Jānis","Lagzdiņš",7
"Viola","Lāzo",7
"Jānis","Leja",7
"Modris","Lujāns",7
"Pāvels","Maksimovs",7
"Miroslavs","Mitrofanovs",7
"Vineta","Muižniece",7
"Jānis","Ozoliņš",7
"Andrejs","Panteļējevs",7
"Krišjānis","Peters",7
"Rihards","Pīks",7
"Aija","Poča",7
"Aida","Prēdele",7
"Boriss","Rastopirkins",7
"Romualds","Ražuks",7
"Normunds","Rudevičs",7
"Pēteris","Salkazanovs",7
"Mareks","Segliņš",7
"Anna","Seile",7
" Juris","Sinka",7
"Juris","Sokolovskis",7
"Igors","Solovjovs",7
"Jēkabs","Sproģis",7
"Jevgenija","Stalidzāne",7
"Dainis","Stalts",7
"Jānis","Straume",7
"Andris","Šķēle",7
"Jāzeps","Šņepsts",7
"Aivars","Tiesnesis",7
"Ingrīda","Ūdre",7
"Žanete","Vasaraudze",7
"Juris Galerijs","Vidiņš",7
"Māris","Vītols",7
"Monika","Zīle",7
"Ērika","Zommere",7
"Pēteris","Apinis",7
"Jānis","Ādamsons",7
"Vents","Balodis",7
"Aleksandrs","Bartaševičs",7
"Andris","Bērziņš (Zemgale)",7
"Indulis","Bērziņš",7
"Valdis","Birkavs",7
"Aivars","Boja",7
"Leons","Bojārs",7
"Imants","Burvis",7
"Jānis","Čevers",7
"Juris","Dalbiņš",7
"Helēna","Demakova",7
"Juris","Dobelis",7
"Mārtiņš","Emsiņš",7
"Gunārs","Freimanis",7
"Jānis","Gailis",7
"Ivars","Godmanis",7
"Aleksandrs","Golubovs",7
"Kārlis","Greiškalns",7
"Māris","Grīnblats",7
"Edvīns","Inkēns",7
"Jānis","Jurkāns",7
"Imants","Kalniņš",7
"Tadeušs","Ketlers",7
"Aleksandrs","Kiršteins",7
"Guntars","Krasts",7
"Vilis","Krištopans",7
"Rišards","Labanovskis",7
"Jānis","Lāčplēsis",7
"Valdis","Lauskis",7
"Kārlis","Leiškalns",7
"Kristiāna","Lībane",7
"Vladimirs","Makarovs",7
"Romāns","Mežeckis",7
"Linards","Muciņš",7
"Astrīda","Mūrniece",7
"Vaira","Paegle",7
"Raimonds","Pauls",7
"Karina","Pētersone",7
"Jakovs","Pliners",7
"Andrejs","Požarnovs",7
"Dzintars","Rasnačs",7
"Arnis","Razminovičs",7
"Kaspars","Riekstiņš",7
"Anta","Rugāte",7
"Ņina","Savčenko",7
"Antons","Seiksts",7
"Jānis","Siliņš",7
"Atis","Slakteris",7
"Helēna","Soldatjonoka",7
"Māris","Sprindžuks",7
"Oskars","Spurdziņš",7
"Imants","Stirāns",7
"Leonards","Stašs",7
"Jānis","Škapars",7
"Ainārs","Šlesers",7
"Pēteris","Tabūns",7
"Oļegs","Tolmačovs",7
"Jānis","Urbanovičs",7
"Jānis","Vētra",7
"Raitis","Vītoliņš",7
"Edgars","Zalāns",7
"Roberts","Zīle",7
"Osvalds","Zvejsalnieks",7
"Valērijs","Agešins",8
"Andrejs","Aleksejevs",8
"Solvita","Āboltiņa",8
"Aleksandrs","Bartaševičs",8
"Martijans","Bekasovs",8
"Andris","Bērziņš (Zemgale)",8
"Gundars","Bērziņš",8
"Uldis","Briedis",8
"Augusts","Brigmanis",8
"Māra","Ceriņa",8
"Ingrīda","Circene",8
"Helēna","Demakova",8
"Juris","Dobelis",8
"Ina","Druviete",8
"Jānis","Esta",8
"Sergejs","Fjodorovs",8
"Aleksandrs","Golubovs",8
"Māris","Gulbis",8
"Dzintars","Jaundžeikars",8
"Ēriks","Jēkabsons",8
"Roberts","Jurķis",8
"Anita","Kalniņa",8
"Pēteris","Kalniņš",8
"Artis","Kampars",8
"Valērijs","Karpuškins",8
"Andis","Kāposts",8
"Uldis Mārtiņš","Klauss",8
"Paulis","Kļaviņš",8
"Māris","Krastiņš",8
"Ģirts-Valdis","Kristovskis",8
"Alberts","Krūmiņš",8
"Aldis","Kušķis",8
"Ingrīda","Labucka",8
"Arnolds","Laksa",8
"Ainars","Latkovskis",8
"Anatolijs","Mackevičs",8
"Vineta","Muižniece",8
"Andrejs","Naglis",8
"Vitālijs","Orlovs",8
"Leopolds","Ozoliņš",8
"Vaira","Paegle",8
"Krišjānis","Peters",8
"Mihails","Pietkevičs",8
"Jakovs","Pliners",8
"Andrejs","Radzevičs",8
"Jānis","Reirs",8
"Ivans","Ribakovs",8
"Anta","Rugāte",8
"Anna","Seile",8
"Visvaldis","Skujiņš",8
"Juris","Sokolovskis",8
"Jevgenija","Stalidzāne",8
"Jānis","Straume",8
"Kārlis","Strēlis",8
"Viesturs","Šiliņš",8
"Jānis","Škapars",8
"Andris","Šķēle",8
"Ainārs","Šlesers",8
"Elita","Šņepste",8
"Andris","Tolmačovs",8
"Arvīds","Ulme",8
"Ingrīda","Ūdre",8
"Žanete","Vasaraudze",8
"Aleksejs","Vidavskis",8
"Ausma","Ziedone-Kantāne",8
"Ērika","Zommere",8
"Igors","Aleksandrovs",8
"Dzintars","Ābiķis",8
"Andris","Ārgalis",8
"Ainars","Baštiks",8
"Silva","Bendrāte",8
"Guntis","Bērziņš",8
"Vilnis-Edvīns","Bresis",8
"Baiba","Brigmane",8
"Vladimirs","Buzajevs",8
"Boriss","Cilevičs",8
"Juris","Dalbiņš",8
"Oļegs","Deņisovs",8
"Valdis","Dombrovskis",8
"Indulis","Emsis",8
"Inta","Feldmane",8
"Silva","Golde",8
"Māris","Grīnblats",8
"Valdis","Ģīlis",8
"Edgars","Jaunups",8
"Jānis","Jurkāns",8
"Nikolajs","Kabanovs",8
"Imants","Kalniņš",8
"Aigars","Kalvītis",8
"Arturs Krišjānis","Kariņš",8
"Oskars","Kastēns",8
"Aleksandrs","Kiršteins",8
"Andrejs","Klementjevs",8
"Inese","Krastiņa",8
"Guntars","Krasts",8
"Vilis","Krištopans",8
"Māris","Kučinskis",8
"Sarmīte","Ķikuste",8
"Jānis","Lagzdiņš",8
"Madars","Lasmanis",8
"Liene","Liepiņa",8
"Pāvels","Maksimovs",8
"Linda","Mūrniece",8
"Pēteris","Ontužāns",8
"Ināra","Ostrovska",8
"Artis","Pabriks",8
"Raimonds","Pauls",8
"Aigars","Pētersons",8
"Rihards","Pīks",8
"Jānis","Porietis",8
"Dzintars","Rasnačs",8
"Einars","Repše",8
"Inguna","Rībena",8
"Mareks","Segliņš",8
"Pēteris","Simsons",8
"Atis","Slakteris",8
"Igors","Solovjovs",8
"Vjačeslavs","Stepaņenko",8
"Jānis","Strazdiņš",8
"Kārlis","Šadurskis",8
"Ēriks","Škapars",8
"Staņislavs","Šķesters",8
"Inese","Šlesere",8
"Jānis","Šmits",8
"Pēteris","Tabūns",8
"Dainis","Turlais",8
"Jānis","Urbanovičs",8
"Inese","Vaidere",8
"Aina","Verze",8
"Dzintars","Zaķis",8
"Roberts","Zīle",8
"Ēriks","Zunda",8
"Dzintars","Ābiķis",9
"Solvita","Āboltiņa",9
"Valērijs","Agešins",9
"Vitālijs","Aizbalts",9
"Igors","Aleksandrovs",9
"Māris","Ārbergs",9
"Uldis","Augulis",9
"Aija","Barča",9
"Ainars","Baštiks",9
"Martijans","Bekasovs",9
"Silva","Bendrāte",9
"Andris","Bērziņš (Rīga)",9
"Andris","Bērziņš (Zemgale)",9
"Gundars","Bērziņš",9
"Guntis","Bērziņš",9
"Guntis","Blumbergs",9
"Juris","Boldāns",9
"Vilnis-Edvīns","Bresis",9
"Uldis","Briedis",9
"Augusts","Brigmanis",9
"Valērijs","Buhvalovs",9
"Vladimirs","Buzajevs",9
"Boriss","Cilevičs",9
"Ingrīda","Circene",9
"Ilma","Čepāne",9
"Juris","Dalbiņš",9
"Gundars","Daudze",9
"Helēna","Demakova",9
"Oļegs","Deņisovs",9
"Juris","Dobelis",9
"Sergejs","Dolgopolovs",9
"Ina","Druviete",9
"Jānis","Dukšinskis",9
"Jānis","Eglītis",9
"Indulis","Emsis",9
"Guntis Jānis","Eniņš",9
"Inta","Feldmane",9
"Sergejs","Fjodorovs",9
"Ivars","Godmanis",9
"Aleksandrs","Golubovs",9
"Uldis-Ivars","Grava",9
"Māris","Grīnblats",9
"Valdis","Ģīlis",9
"Pēteris","Hanka",9
"Aleksejs","Holostovs",9
"Dzintars","Jaundžeikars",9
"Nikolajs","Kabanovs",9
"Sandra","Kalniete",9
"Imants","Kalniņš",9
"Aigars","Kalvītis",9
"Artis","Kampars",9
"Andis","Kāposts",9
"Arturs Krišjānis","Kariņš",9
"Oskars","Kastēns",9
"Jānis","Klaužs",9
"Andrejs","Klementjevs",9
"Ivans","Klementjevs",9
"Māris","Krastiņš",9
"Vents Armands","Krauklis",9
"Alberts","Krūmiņš",9
"Māris","Kučinskis",9
"Janīna","Kursīte-Pakule",9
"Sarmīte","Ķikuste",9
"Visvaldis","Lācis",9
"Jānis","Lagzdiņš",9
"Gunārs","Laicāns",9
"Madars","Lasmanis",9
"Ainars","Latkovskis",9
"Kārlis","Leiškalns",9
"Ingmārs","Līdaka",9
"Leons","Līdums",9
"Liene","Liepiņa",9
"Anatolijs","Mackevičs",9
"Aleksandrs","Mirskis",9
"Sergejs","Mirskis",9
"Miroslavs","Mitrofanovs",9
"Vineta","Muižniece",9
"Linda","Mūrniece",9
"Vitālijs","Orlovs",9
"Leopolds","Ozoliņš",9
"Artis","Pabriks",9
"Vaira","Paegle",9
"Raimonds","Pauls",9
"Karina","Pētersone",9
"Skaidrīte","Pilāte",9
"Igors","Pimenovs",9
"Jakovs","Pliners",9
"Jānis","Porietis",9
"Pauls","Putniņš",9
"Dzintars","Rasnačs",9
"Jānis","Reirs",9
"Einars","Repše",9
"Ivans","Ribakovs",9
"Inguna","Rībena",9
"Baiba","Rivža",9
"Mārtiņš","Roze",9
"Ziedonis","Rubezis",9
"Artūrs","Rubiks",9
"Anta","Rugāte",9
"Mareks","Segliņš",9
"Anna","Seile",9
"Ligita","Silaraupa",9
"Atis","Slakteris",9
"Juris","Sokolovskis",9
"Oskars","Spurdziņš",9
"Dagnija","Staķe",9
"Vjačeslavs","Stepaņenko",9
"Jānis","Strazdiņš",9
"Kārlis","Šadurskis",9
"Viktors","Ščerbatihs",9
"Staņislavs","Šķesters",9
"Inese","Šlesere",9
"Ainārs","Šlesers",9
"Jānis","Šmits",9
"Aigars","Štokenbergs",9
"Pēteris","Tabūns",9
"Dainis","Turlais",9
"Jānis","Tutins",9
"Gunārs","Upenieks",9
"Jānis","Urbanovičs",9
"Nils","Ušakovs",9
"Imants","Valers",9
"Raimonds","Vējonis",9
"Aleksejs","Vidavskis",9
"Dzintars","Zaķis",9
"Mihails","Zemļinskis",9
"Ausma","Ziedone-Kantāne",9
"Ērika","Zommere",9
"Dzintars","Ābiķis",10
"Solvita","Āboltiņa",10
"Jānis","Ādamsons",10
"Valērijs","Agešins",10
"Inese","Aizstrauta",10
"Arvils","Ašeradens",10
"Uldis","Augulis",10
"Aija","Barča",10
"Imants Jānis","Bekešs",10
"Silva","Bendrāte",10
"Andris","Bērziņš (Rīga)",10
"Andris","Bērziņš (Vidzeme)",10
"Andris","Bērziņš (Zemgale)",10
"Gaidis","Bērziņš",10
"Augusts","Brigmanis",10
"Andris","Buiķis",10
"Aleksejs","Burunovs",10
"Andis","Caunītis",10
"Boriss","Cilevičs",10
"Einārs","Cilinskis",10
"Ingrīda","Circene",10
"Ingmārs","Čaklais",10
"Ilma","Čepāne",10
"Lolita","Čigāne",10
"Ints","Dālderis",10
"Gundars","Daudze",10
"Sergejs","Dolgopolovs",10
"Jānis","Dombrava",10
"Valdis","Dombrovskis",10
"Aivars","Dronka",10
"Ina","Druviete",10
"Jānis","Dūklavs",10
"Māris","Dzelzskalns",10
"Raivis","Dzintars",10
"Rihards","Eigims",10
"Sarmīte","Ēlerte",10
"Sergejs","Fjodorovs",10
"Guntars","Galvanovskis",10
"Valentīns","Grigorjevs",10
"Iveta","Grigule",10
"Dzintra","Hirša",10
"Aleksejs","Holostovs",10
"Aleksandrs","Jakimovs",10
"Viktors","Jakovļevs",10
"Nikolajs","Kabanovs",10
"Ojārs Ēriks","Kalniņš",10
"Artis","Kampars",10
"Rasma","Kārkliņa",10
"Jānis","Klaužs",10
"Andrejs","Klementjevs",10
"Ivans","Klementjevs",10
"Armands","Krauze",10
"Valērijs","Kravcovs",10
"Ģirts Valdis","Kristovskis",10
"Māris","Kučinskis",10
"Janīna","Kursīte-Pakule",10
"Visvaldis","Lācis",10
"Inese","Laizāne",10
"Madars","Lasmanis",10
"Ainars","Latkovskis",10
"Atis","Lejiņš",10
"Ingmārs","Līdaka",10
"Imants Viesturs","Lieģis",10
"Liene","Liepiņa",10
"Aleksejs","Loskutovs",10
"Igors","Meļņikovs",10
"Sergejs","Mirskis",10
"Linda","Mūrniece",10
"Vladimirs","Nikonovs",10
"Ņikita","Ņikiforovs",10
"Klāvs","Olšteins",10
"Vitālijs","Orlovs",10
"Artis","Pabriks",10
"Imants","Parādnieks",10
"Igors","Pimenovs",10
"Dzintars","Rasnačs",10
"Dace","Reinika",10
"Jānis","Reirs",10
"Dana","Reizniece-Ozola",10
"Ivans","Ribakovs",10
"Inguna","Rībena",10
"Dmitrijs","Rodionovs",10
"Dita","Role",10
"Uģis","Rotbergs",10
"Guntis","Rozītis",10
"Artūrs","Rubiks",10
"Raimonds","Rubiks",10
"Aleksandrs","Sakovskis",10
"Ansis","Saliņš",10
"Kārlis","Seržants",10
"Juris","Silovs",10
"Edvards","Smiltēns",10
"Vitauts","Staņa",10
"Jānis","Strazdiņš",10
"Rita","Strode",10
"Kārlis","Šadurskis",10
"Laimis","Šāvējs",10
"Andris","Šķēle",10
"Staņislavs","Šķesters",10
"Inese","Šlesere",10
"Ainārs","Šlesers",10
"Aigars","Štokenbergs",10
"Jānis","Tutins",10
"Guntis","Ulmanis",10
"Jānis","Urbanovičs",10
"Raimonds","Vējonis",10
"Ilze","Vergina",10
"Andris","Vilks",10
"Ilze","Viņķele",10
"Aivars","Volfs",10
"Jānis","Vucāns",10
"Dzintars","Zaķis",10
"Edgars","Zalāns",10
"Mihails","Zemļinskis",10
"Didzis","Zemmers",10
"Oskars","Zīds",10
"Igors","Zujevs",10
"Juris","Žūriņš",10
"Dzintars","Ābiķis",11
"Solvita","Āboltiņa",11
"Jānis","Ādamsons",11
"Valērijs","Agešins",11
"Inese","Aizstrauta",11
"Arvils","Ašeradens",11
"Uldis","Augulis",11
"Aija","Barča",11
"Andris","Bērziņš (Zemgale)",11
"Gaidis","Bērziņš",11
"Guntars","Bilsēns",11
"Inita","Bišofa",11
"Inga","Bite",11
"Raivis","Blumfelds",11
"Augusts","Brigmanis",11
"Andris","Buiķis",11
"Boriss","Cilevičs",11
"Einārs","Cilinskis",11
"Irina","Cvetkova",11
"Ingmārs","Čaklais",11
"Ilma","Čepāne",11
"Lolita","Čigāne",11
"Edmunds","Demiters",11
"Sergejs","Dolgopolovs",11
"Jānis","Dombrava",11
"Valdis","Dombrovskis",11
"Vjačeslavs","Dombrovskis",11
"Ina","Druviete",11
"Jānis","Dūklavs",11
"Raivis","Dzintars",11
"Rihards","Eigims",11
"Andrejs","Elksniņš",11
"Kārlis","Eņģelis",11
"Iveta","Grigule",11
"Oļegs","Hļebņikovs",11
"Gunārs","Igaunis",11
"Marjana","Ivanova-Jevsejeva",11
"Aleksandrs","Jakimovs",11
"Viktors","Jakovļevs",11
"Andrejs","Judins",11
"Jānis","Junkurs",11
"Ilona","Jurševska",11
"Nikolajs","Kabanovs",11
"Zanda","Kalniņa-Lukaševica",11
"Ojārs Ēriks","Kalniņš",11
"Rasma","Kārkliņa",11
"Daina","Kazāka",11
"Jānis","Klaužs",11
"Andrejs","Klementjevs",11
"Ivans","Klementjevs",11
"Kārlis","Krēsliņš",11
"Māris","Kučinskis",11
"Dzintars","Kudums",11
"Janīna","Kursīte-Pakule",11
"Vilnis","Ķirsis",11
"Jānis","Lāčplēsis",11
"Inese","Laizāne",11
"Ainars","Latkovskis",11
"Ilmārs","Latkovskis",11
"Jeļena","Lazareva",11
"Atis","Lejiņš",11
"Inese","Lībiņa-Egnere",11
"Ingmārs","Līdaka",11
"Gunta","Liepiņa",11
"Liene","Liepiņa",11
"Valdis","Liepiņš",11
"Aleksejs","Loskutovs",11
"Igors","Meļņikovs",11
"Sergejs","Mirskis",11
"Ināra","Mūrniece",11
"Romāns","Naudiņš",11
"Vladimirs","Nikonovs",11
"Ņikita","Ņikiforovs",11
"Klāvs","Olšteins",11
"Vitālijs","Orlovs",11
"Jānis","Ozoliņš",11
"Artis","Pabriks",11
"Imants","Parādnieks",11
"Igors","Pimenovs",11
"Līvija","Plavinska",11
"Vineta","Poriņa",11
"Sergejs","Potapkins",11
"Dzintars","Rasnačs",11
"Romualds","Ražuks",11
"Jānis","Reirs",11
"Dana","Reizniece-Ozola",11
"Vladimirs","Reskājs",11
"Ivans","Ribakovs",11
"Inguna","Rībena",11
"Dmitrijs","Rodionovs",11
"Artūrs","Rubiks",11
"Raimonds","Rubiks",11
"Gunārs","Rusiņš",11
"Aleksandrs","Sakovskis",11
"Kārlis","Seržants",11
"Elīna","Siliņa",11
"Edvards","Smiltēns",11
"Gatis","Sprūds",11
"Edmunds","Sprūdžs",11
"Dāvis","Stalts",11
"Jānis","Strazdiņš",11
"Lelde","Stumbre",11
"Jānis","Tutins",11
"Jānis","Upenieks",11
"Jānis","Urbanovičs",11
"Viktors","Valainis",11
"Inga","Vanaga",11
"Juris","Vectirāns",11
"Raimonds","Vējonis",11
"Ilze","Vergina",11
"Andris","Vilks",11
"Juris","Viļums",11
"Ilze","Viņķele",11
"Jānis","Vucāns",11
"Dzintars","Zaķis",11
"Ivars","Zariņš",11
"Valdis","Zatlers",11
"Mihails","Zemļinskis",11
"Igors","Zujevs",11
